repo,quarter,role_metric,rank,node,value
ruff,Q4,betweenness,1,ntBre,0.495511
ruff,Q4,betweenness,2,MichaReiser,0.306310
ruff,Q4,betweenness,3,AlexWaygood,0.154665
ruff,Q4,betweenness,4,carljm,0.145607
ruff,Q4,betweenness,5,amyreese,0.100121
streamlit,Q1,strength,1,lukasmasuch,420.000000
streamlit,Q1,strength,2,sfc-gh-bnisco,285.000000
streamlit,Q1,strength,3,sfc-gh-lwilby,220.000000
streamlit,Q1,strength,4,mayagbarnes,148.000000
streamlit,Q1,strength,5,sfc-gh-nbellante,100.000000
streamlit,Q1,betweenness,1,sfc-gh-bnisco,0.322534
streamlit,Q1,betweenness,2,lukasmasuch,0.248975
streamlit,Q1,betweenness,3,sfc-gh-dmatthews,0.241462
streamlit,Q1,betweenness,4,katerinatsikoura,0.168319
streamlit,Q1,betweenness,5,kmcgrady,0.160714
streamlit,Q2,strength,1,lukasmasuch,418.000000
streamlit,Q2,strength,2,sfc-gh-bnisco,307.000000
streamlit,Q2,strength,3,sfc-gh-lwilby,253.000000
streamlit,Q2,strength,4,sfc-gh-nbellante,159.000000
streamlit,Q2,strength,5,jrieke,98.000000
streamlit,Q2,betweenness,1,lukasmasuch,0.415777
streamlit,Q2,betweenness,2,jrieke,0.251577
streamlit,Q2,betweenness,3,sfc-gh-tteixeira,0.194547
streamlit,Q2,betweenness,4,sfc-gh-lwilby,0.173724
streamlit,Q2,betweenness,5,sfc-gh-jrieke,0.153254
streamlit,Q3,strength,1,lukasmasuch,568.000000
streamlit,Q3,strength,2,sfc-gh-lwilby,396.000000
streamlit,Q3,strength,3,sfc-gh-bnisco,391.000000
streamlit,Q3,strength,4,sfc-gh-nbellante,161.000000
streamlit,Q3,strength,5,mayagbarnes,125.000000
streamlit,Q3,betweenness,1,jrieke,0.361237
streamlit,Q3,betweenness,2,lukasmasuch,0.341681
streamlit,Q3,betweenness,3,sfc-gh-bnisco,0.208621
streamlit,Q3,betweenness,4,sfc-gh-lwilby,0.127441
streamlit,Q3,betweenness,5,velochy,0.108553
streamlit,Q4,strength,1,lukasmasuch,631.000000
streamlit,Q4,strength,2,sfc-gh-bnisco,336.000000
streamlit,Q4,strength,3,sfc-gh-lwilby,295.000000
streamlit,Q4,strength,4,mayagbarnes,125.000000
streamlit,Q4,strength,5,sfc-gh-nbellante,97.000000
streamlit,Q4,betweenness,1,lukasmasuch,0.187000
streamlit,Q4,betweenness,2,sfc-gh-bnisco,0.099509
streamlit,Q4,betweenness,3,sfc-gh-dmatthews,0.094661
streamlit,Q4,betweenness,4,sfc-gh-lwilby,0.086995
streamlit,Q4,betweenness,5,jrieke,0.071136
fastapi,Q1,strength,1,YuriiMotov,109.000000
fastapi,Q1,strength,2,tiangolo,28.000000
fastapi,Q1,strength,3,valentinDruzhinin,23.000000
fastapi,Q1,strength,4,sungchan1,18.000000
fastapi,Q1,strength,5,alejsdev,15.000000
fastapi,Q1,betweenness,1,YuriiMotov,0.402428
fastapi,Q1,betweenness,2,tiangolo,0.331950
fastapi,Q1,betweenness,3,Taoup,0.148180
fastapi,Q1,betweenness,4,svlandeg,0.135633
fastapi,Q1,betweenness,5,alejsdev,0.133330
fastapi,Q2,strength,1,YuriiMotov,154.000000
fastapi,Q2,strength,2,tiangolo,64.000000
fastapi,Q2,strength,3,svlandeg,53.000000
fastapi,Q2,strength,4,nilslindemann,34.000000
fastapi,Q2,strength,5,cjwatson,18.000000
fastapi,Q2,betweenness,1,YuriiMotov,0.647045
fastapi,Q2,betweenness,2,tiangolo,0.296171
fastapi,Q2,betweenness,3,svlandeg,0.111862
fastapi,Q2,betweenness,4,EdmilsonRodrigues,0.078144
fastapi,Q2,betweenness,5,yogishhg9964,0.053728
fastapi,Q3,strength,1,YuriiMotov,215.000000
fastapi,Q3,strength,2,tiangolo,184.000000
fastapi,Q3,strength,3,svlandeg,38.000000
fastapi,Q3,strength,4,potiuk,20.000000
fastapi,Q3,strength,5,johnslavik,16.000000
fastapi,Q3,betweenness,1,YuriiMotov,0.510183
fastapi,Q3,betweenness,2,tiangolo,0.471659
fastapi,Q3,betweenness,3,svlandeg,0.130419
fastapi,Q3,betweenness,4,tImIhAcK,0.055708
fastapi,Q3,betweenness,5,alejsdev,0.036409
fastapi,Q4,strength,1,YuriiMotov,288.000000
fastapi,Q4,strength,2,tiangolo,150.000000
fastapi,Q4,strength,3,svlandeg,35.000000
fastapi,Q4,strength,4,roli2py,16.000000
fastapi,Q4,strength,5,musicinmybrain,15.000000
fastapi,Q4,betweenness,1,YuriiMotov,0.581975
fastapi,Q4,betweenness,2,tiangolo,0.277330
fastapi,Q4,betweenness,3,alejsdev,0.052347
fastapi,Q4,betweenness,4,svlandeg,0.043995
fastapi,Q4,betweenness,5,musicinmybrain,0.039545
